Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Scout X-3 | Ariel 2,1964-03-27,1964.0,1960s,Europe_ESA,GBR,SERC (UK),Scout X-3,Scout,"Wallops Flight Facility, Virginia, USA",Launch Area 3,Science/Astrophysics,LEO,,Success,,,,,Ariel is a series of British research satellites. Ariel 2 was designed to carry out radio astronomy experiments and was used to measure galactic radio noise.,7380febd-426d-47bc-b0ba-dfd03e188345,Launch Library 2,CLEANED_COMPLETE
Scout X-4 | San Marco 1,1964-12-15,1964.0,1960s,Europe_ESA,ITA,NRC (Italy),Scout X-4,Scout,"Wallops Flight Facility, Virginia, USA",Launch Area 3A,Technology/Test,LEO,,Success,,,,,San Marco 1 was an Italian flight test of the satellite to furnish data on air density and ionosphere characteristics. The Scout-X4 launch vehicle was provided by NASA and was launched with an Italian launch crew from Wallops Island.,3c4f8b1a-e747-4a26-9fd2-77c4bbb7034e,Launch Library 2,CLEANED_COMPLETE
Diamant A | Asterix,1965-11-26,1965.0,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Technology/Test,LEO,,Success,,,,,First french satellite,e7434c5e-3660-4135-9f91-46b1bfbd01fc,Launch Library 2,CLEANED_COMPLETE
Scout X-4 | FR-1,1965-12-06,1965.0,1960s,Europe_ESA,FRA,CNES (France),Scout X-4,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Earth Observation,LEO,,Success,,,,,"The FR 1 (France 1) spacecraft was a small spacecraft carrying two experiments. One was designed to observe VLF signals from earth-based transmitters, and the other was an electron density probe measuring electron concentration at the satellite.",c4d9b6ee-d2ad-43d6-8312-70d2c663dae8,Launch Library 2,CLEANED_COMPLETE
Diamant A | Diapason D-1A,1966-02-17,1966.0,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Earth Observation,LEO,,Success,,,,,"Diapason was a small cylindrical satellite, 20 cm long and 50 cm in diameter which was used for making geodetic measurements.",3795303e-8662-4def-aaec-05144cee34af,Launch Library 2,CLEANED_COMPLETE
Diamant A | Diademe D-1C,1967-02-08,1967.0,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Earth Observation,LEO,,Success,,,,,French geodetic study satellite.,c29dfe71-9741-4902-9fcd-4ccbf3741408,Launch Library 2,CLEANED_COMPLETE
Diamant A | Diademe D-1D,1967-02-15,1967.0,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Earth Observation,LEO,,Success,,,,,French geodetic study satellite.,c5cd3db6-4b32-4cd9-a178-f3e04a9ed47f,Launch Library 2,CLEANED_COMPLETE
Scout B | San Marco 2,1967-04-26,1967.0,1960s,Europe_ESA,ITA,NRC (Italy),Scout B,Scout,"Broglio Space Center, Kenya",San Marco platform,Earth Observation,LEO,,Success,,,,,"San Marco 2 was a 66-cm-diameter spherical satellite with two experiments, one designed to make direct measurements of air density below 350 km, and the other an ionospheric beacon experiment developed to observe electron content between the earth and the satellite.",0b896593-2d29-4229-a381-568790d9cfce,Launch Library 2,CLEANED_COMPLETE
Scout A | Ariel 3,1967-05-05,1967.0,1960s,Europe_ESA,GBR,SERC (UK),Scout A,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Earth Observation,LEO,,Success,,,,,"Ariel is a series of British research satellites. Ariel 3 was used to study atmospheric phenomena, and it also continued the previous satellite's experiments in gathering data on galactic radio noise.",31996ab9-94f3-4a6c-a04f-4227d90768e0,Launch Library 2,CLEANED_COMPLETE
Scout B | ESRO 2A,1967-05-30,1967.0,1960s,Europe_ESA,"FRA,ITA,DEU,ESP,CHE,GBR,DNK,SWE,BEL,NLD",ESRO,Scout B,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Science/Astrophysics,Polar,,Failure,,,,,"ESRO 2 (European Space Research Organisation), Iris (International Radiation Investigation Satellite) was a 75 kg spin-stabilized spacecraft. On the launch of ESRO 2A, the third stage vehicle failed and the spacecraft did not achieve orbit.",643d52ab-9daf-48f5-bd26-67baf406eae3,Launch Library 2,CLEANED_COMPLETE
ESRO 2B,1968-05-17,1968.0,1960s,Europe_ESA,Europe (10 nations),ESRO,Scout B,Scout,Vandenberg AFB,,Other,LEO,76.0,Success,Decommissioned,17.5,,7.0,First successful European satellite; measured cosmic rays and solar particle events,,,ENRICHED
Scout B | ESRO 2B,1968-05-17,1968.0,1960s,Europe_ESA,"FRA,ITA,DEU,ESP,CHE,GBR,DNK,SWE,BEL,NLD",ESRO,Scout B,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Science/Astrophysics,Polar,,Success,,,,,"ESRO 2 (European Space Research Organisation), Iris (International Radiation Investigation Satellite) was a 75 kg spin-stabilized spacecraft.",79809b7b-558a-47d3-bca1-5c0445278876,Launch Library 2,CLEANED_COMPLETE
Scout B | ESRO 1A (Aurorae),1968-10-03,1968.0,1960s,Europe_ESA,"FRA,ITA,DEU,ESP,CHE,GBR,DNK,SWE,BEL,NLD",ESRO,Scout B,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Earth Observation,HEO/Elliptical,,Success,,,,,"ESRO-1A / Aurorae (European Space Research Organisation) was a 80 kg, cylindrically shaped, solar-cell-powered spacecraft instrumented with seven scientific experiments chosen to measure a comprehensive range of auroral effects.",018e6ff3-3edb-4851-a785-88bd478599d4,Launch Library 2,CLEANED_COMPLETE
Europa I | STV 1,1968-11-29,1968.0,1960s,Europe_ESA,"FRA,AUS,ITA,DEU,GBR,BEL,NLD",ELDO,Europa I,Europa,RAAF Woomera Range Complex,Launch Area 6A,Technology/Test,LEO,,Failure,,,,,STV (Satellite Test Vehicle) was a series of vehicle evaluation payloads built for the test flights of the Europa-1 rocket.,92a2c8e9-8b56-4abd-8fe9-e67bef355a64,Launch Library 2,CLEANED_COMPLETE
ESRO 4,1972-11-22,1972.0,1970s,Europe_ESA,Europe (10 nations),ESRO,Scout D-1,Scout,Vandenberg AFB,,Other,LEO,114.0,Success,Decommissioned,60.0,,7.0,Studied polar ionosphere; auroral phenomena,,,ENRICHED
GEOS 1,1977-04-20,1977.0,1970s,Europe_ESA,Europe (ESA),ESA,Delta 2914,Delta,Cape Canaveral,,Other,Other,574.0,Failure,Lost/Failed,175.0,Solid,7.0,Rocket underperformance; reached elliptical orbit not GEO; science data collected,,,ENRICHED
Meteosat 1,1977-11-23,1977.0,1970s,Europe_ESA,Europe (ESA),ESA,Delta 2914,Delta,Cape Canaveral,,Weather/Meteorology,GEO,697.0,Success,Decommissioned,175.0,Solid,10.0,Europe's first geostationary weather satellite; began Meteosat series,,,ENRICHED
IUE (International UV Explorer),1978-01-26,1978.0,1970s,Europe_ESA,Europe (ESA),ESA,Delta 2914,Delta,Cape Canaveral,,Other,GEO,669.0,Success,Decommissioned,175.0,Solid,7.0,Joint ESA/NASA/UK; observed 10,,,ENRICHED
Ariane 1 First Flight,1979-12-24,1979.0,1970s,Europe_ESA,Europe (ESA),ESA,Ariane 1,Ariane,Kourou,,Technology/Test,GTO,1600.0,Success,Decommissioned,175.0,Liquid,3.0,First Ariane rocket; Europe's own access to space; launched CAT-1 demo payload,,,ENRICHED
Ariane 1 Flight 1,1979-12-24,1979.0,1970s,Europe_ESA,EUR,ESA,Ariane 1,Ariane,Kourou,Kourou,Technology/Test,GTO,,Success,,,,,First Ariane rocket flight,EUR-1979,International Space Agencies Database,CLEANED_COMPLETE
Marecs-A,1981-12-20,1981.0,1980s,Europe_ESA,Europe (ESA),ESA,Ariane 1,Ariane,Kourou,,Communication,GEO,1045.0,Success,Decommissioned,175.0,Liquid,15.0,Maritime European Communication Satellite for shipping navigation,,,ENRICHED
Exosat,1983-05-26,1983.0,1980s,Europe_ESA,Europe (ESA),ESA,Delta 3914,Delta,Vandenberg AFB,,Other,HEO/Elliptical,468.0,Success,Decommissioned,60.0,Solid,7.0,X-ray observatory; studied neutron stars,,,ENRICHED
