Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Hayabusa 2# (Extended Mission),12/5/2020 (started),,,Japan,Japan,JAXA,,,,,Planetary Science,Heliocentric,,Success,Other,17.5,,7.0,Extended Hayabusa-2 mission heading to asteroid 1998 KY26; will arrive 2031,,,ENRICHED
Lambda 4S | Ohsumi 1,1966-09-26,1966.0,1960s,Japan,JPN,ISAS (Japan),Lambda 4S,Lambda,"Uchinoura Space Center, Japan",KS Center,Technology/Test,LEO,,Failure,,,,,Ohsumi was a series of five small satellites built to become the first Japanese satellite on orbit.,82f5c49a-7cc6-46ee-a965-a604cc2659b3,Launch Library 2,CLEANED_COMPLETE
Lambda 4S | Ohsumi 2,1966-12-20,1966.0,1960s,Japan,JPN,ISAS (Japan),Lambda 4S,Lambda,"Uchinoura Space Center, Japan",KS Center,Technology/Test,LEO,,Failure,,,,,Ohsumi was a series of five small satellites built to become the first Japanese satellite on orbit.,b3057913-39d5-4ce9-9b02-76db12a962e7,Launch Library 2,CLEANED_COMPLETE
Lambda 4S | Ohsumi 3,1967-04-13,1967.0,1960s,Japan,JPN,ISAS (Japan),Lambda 4S,Lambda,"Uchinoura Space Center, Japan",KS Center,Technology/Test,LEO,,Failure,,,,,Ohsumi was a series of five small satellites built to become the first Japanese satellite on orbit.,0baae9ed-2c61-48b5-919a-d7d1d8c6fe73,Launch Library 2,CLEANED_COMPLETE
Osumi,1970-02-11,1970.0,1970s,Japan,Japan,NASDA/ISAS,Lambda-4S,Lambda-4S,Uchinoura,,Technology/Test,LEO,24.0,Success,Decommissioned,5.0,Solid,0.0904,Japan's first satellite; 4th nation to independently launch; tumbling but reached orbit,,,ENRICHED
Tansei 1 (MS-T1),1971-02-16,1971.0,1970s,Japan,Japan,ISAS,Mu-4S,Mu-4S,Uchinoura,,Technology/Test,HEO/Elliptical,63.0,Success,Decommissioned,17.5,,3.0,Engineering test satellite; studied rocket and satellite systems,,,ENRICHED
Kiku-1 (ETS-I),1975-09-09,1975.0,1970s,Japan,Japan,NASDA,N-1,N-1,Tanegashima,,Technology/Test,LEO,85.0,Success,Decommissioned,17.5,,3.0,Engineering Test Satellite; tested bus technology; first N-1 rocket mission,,,ENRICHED
Tansei 3 (MS-T3),1977-02-19,1977.0,1970s,Japan,Japan,ISAS,Mu-3H,Mu-3H,Uchinoura,,Technology/Test,HEO/Elliptical,129.0,Success,Decommissioned,60.0,Solid,3.0,Scientific satellite for ionosphere and magnetosphere studies,,,ENRICHED
Kiku-2 (ETS-II),1977-02-23,1977.0,1970s,Japan,Japan,NASDA,N-1,N-1,Tanegashima,,Technology/Test,GEO,130.0,Success,Decommissioned,60.0,,3.0,First Japanese satellite to reach geostationary orbit; test of GEO bus,,,ENRICHED
Himawari 1 (GMS-1),1977-07-14,1977.0,1970s,Japan,Japan,NASDA,Delta 2914,Delta,Cape Canaveral,,Weather/Meteorology,GEO,303.0,Success,Decommissioned,60.0,Solid,10.0,Japan's first geostationary weather satellite; Himawari series began,,,ENRICHED
