Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Dong Fang Hong 1,4/24/1970,1970,1970s,China,China,CNSA,Long March 1,Long,Jiuquan,,Technology/Test,LEO,173,Success,Decommissioned,300,Liquid,0.0767,China's first satellite; 5th nation to independently launch; broadcast revolutionary song,,,ENRICHED
Long March 1 (DFH-1),4/24/1970,1970,1970s,China,CHN,CNSA,Long March 1,Long March,Jiuquan,Jiuquan,Other,LEO,,Success,,,,,China first satellite - Dong Fang Hong 1,CNSA-1970,CNSA Historical Database,CLEANED_COMPLETE
FSW-1 (China 15),11/26/1975,1975,1970s,China,China,CNSA,Long March 2,Long,Jiuquan,,Military/Reconnaissance,LEO,1790,Success,Decommissioned,175,Liquid,7,First recoverable satellite; reentry technology,,,ENRICHED
STW-1 (Dong Fang Hong 2),4/8/1984,1984,1980s,China,China,CNSA,Long March 3,Long,Xichang,,Communication,GTO,900,Success,Decommissioned,175,Liquid,15,First Chinese geostationary satellite; first cryogenic upper stage,,,ENRICHED
Asiasat 1,4/7/1990,1990,1990s,China,China,CNSA,Long March 3,Long,Xichang,,Communication,GTO,1241,Success,Decommissioned,175,Liquid,15,First commercial satellite launched by China; began commercial services,,,ENRICHED
Apstar 1,7/21/1994,1994,1990s,China,China,CNSA,Long March 3A,Long,Xichang,,Communication,GTO,2496,Success,Decommissioned,325,Liquid,15,Commercial geostationary for Asia Pacific Satellite,,,ENRICHED
China-Brazil Earth Resources 1 (CBERS-1),10/14/1999,1999,1990s,China,China,CNSA,Long March 4B,Long,Taiyuan,,Earth Observation,SSO,1450,Success,Decommissioned,175,Liquid,8,Joint China-Brazil EO; agriculture and deforestation monitoring,,,ENRICHED
Shenzhou 1,11/19/1999,1999,1990s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,7840,Success,Decommissioned,950,Liquid,0.5,First Shenzhou; uncrewed test; orbital success,,,ENRICHED
Shenzhou 5,10/15/2003,2003,2000s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,7790,Success,Decommissioned,2500,Liquid,,Yang Liwei – first Chinese taikonaut in space; 14 orbits in 21 hours,,,ENRICHED
Tan Ce 1 (TC-1),12/29/2003,2003,2000s,China,China,CNSA,Long March 2C,Long,Xichang,,Other,HEO/Elliptical,344,Success,Decommissioned,60,Liquid,7,China-ESA Double Star; studied Earth magnetosphere,,,ENRICHED
Chang'e 1,10/24/2007,2007,2000s,China,China,CNSA,Long March 3A,Long,Xichang,,Lunar Exploration,Lunar,2350,Success,Decommissioned,1400,Liquid,1.333,First Chinese lunar probe; 7m resolution Moon map,,,ENRICHED
Shenzhou 7,9/25/2008,2008,2000s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,7840,Success,Decommissioned,2700,Liquid,,Zhai Zhigang – China's first spacewalk; 3-day mission,,,ENRICHED
Chang'e 2,10/1/2010,2010,2010s,China,China,CNSA,Long March 3C,Long,Xichang,,Lunar Exploration,Lunar,2480,Success,Decommissioned,325,Liquid,3,7m Moon map; L2 point visit; asteroid Toutatis flyby,,,ENRICHED
Tiangong 1,9/29/2011,2011,2010s,China,China,CNSA,Long March 2FT1,Long,Jiuquan,,Other,LEO,8506,Success,Decommissioned,1000,Liquid,,"China's first space lab; docked with Shenzhou 8,9,10",,,ENRICHED
Shenzhou 9,6/16/2012,2012,2010s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,8130,Success,Decommissioned,950,Liquid,0.5,Liu Yang – first Chinese female taikonaut; manual + auto docking,,,ENRICHED
Shenzhou 10,6/11/2013,2013,2010s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,8130,Success,Decommissioned,950,Liquid,0.5,15-day mission; Wang Yaping taught physics from space,,,ENRICHED
Chang'e 3,12/1/2013,2013,2010s,China,China,CNSA,Long March 3B,Long,Xichang,,Lunar Exploration,Lunar,3780,Success,Decommissioned,1500,Liquid,,First soft Moon landing since 1976; Yutu rover deployed,,,ENRICHED
DAMPE (Wukong),12/17/2015,2015,2010s,China,China,CNSA,Long March 2D,Long,Jiuquan,,Other,SSO,1900,Success,Decommissioned,175,Liquid,7,Dark Matter Particle Explorer; hunts dark matter in cosmic rays,,,ENRICHED
QUESS (Micius),8/16/2016,2016,2010s,China,China,CNSA,Long March 2D,Long,Jiuquan,,Other,SSO,631,Success,Active,100,Liquid,7,World's first quantum comms satellite; quantum entanglement distribution,,,ENRICHED
Tiangong 2,9/15/2016,2016,2010s,China,China,CNSA,Long March 2FT2,Long,Jiuquan,,Other,LEO,8600,Success,Decommissioned,950,Liquid,7,Second space lab; 30-day crewed mission; Tianzhou-1 refueling,,,ENRICHED
Shenzhou 11,10/17/2016,2016,2010s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,LEO,8130,Success,Decommissioned,950,Liquid,0.5,33-day mission on Tiangong-2; longest Chinese spaceflight then,,,ENRICHED
Tianzhou 1,4/20/2017,2017,2010s,China,China,CNSA,Long March 7,Long,Wenchang,,Other,LEO,13000,Success,Decommissioned,950,Liquid,7,First Chinese cargo spacecraft; propellant refueling test,,,ENRICHED
Queqiao Relay,5/20/2018,2018,2010s,China,China,CNSA,Long March 4C,Long,Xichang,,Lunar Exploration,Lunar,448,Success,Decommissioned,60,Liquid,7,First relay for far-side lunar communications; unique L2 halo orbit,,,ENRICHED
Chang'e 4 + Yutu-2,12/7/2018,2018,2010s,China,China,CNSA,Long March 3B,Long,Xichang,,Lunar Exploration,Lunar,3780,Success,Active,2000,Liquid,,First ever soft landing on Moon's far side; Yutu-2 still active 2025,,,ENRICHED
Chang'e 4,12/7/2018,2018,2010s,China,CHN,CNSA,Long March 3B,Long March,Xichang,Xichang,Lunar Exploration,Lunar,,Success,,,,,First landing on far side of the Moon,CNSA-2018,CNSA Historical Database,CLEANED_COMPLETE
BeiDou-3 GEO,2/1/2019,2019,2010s,China,China,CNSA,Long March 3B,Long,Xichang,,Navigation,GEO,4600,Success,Decommissioned,950,Liquid,12,Geostationary BeiDou-3 for Asia coverage,,,ENRICHED
Tianwen-1,7/23/2020,2020,2020s,China,China,CNSA,Long March 5,Long,Wenchang,,Planetary Science,Mars/Interplanetary,5000,Success,Active,3700,Liquid,,First Chinese Mars mission; orbiter + Zhurong rover; confirmed 1.2 billion years-old plains,,,ENRICHED
Chang'e 5,11/23/2020,2020,2020s,China,China,CNSA,Long March 5,Long,Wenchang,,Lunar Exploration,Lunar,8200,Success,Decommissioned,3000,Liquid,0.063,Returned 1.73 kg lunar samples; first return since Luna-24 1976,,,ENRICHED
Tianhe Core Module,4/29/2021,2021,2020s,China,China,CNSA,Long March 5B,Long,Wenchang,,Other,LEO,22500,Success,Active,4000,Liquid,10,Core module of China Space Station (Tiangong); now permanently crewed,,,ENRICHED
Shenzhou 12,6/17/2021,2021,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130,Success,Decommissioned,800,Liquid,0.2466,First CSS crew; Nie Haisheng commanded; 3-month mission,,,ENRICHED
Shenzhou 13,10/15/2021,2021,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130,Success,Decommissioned,900,Liquid,0.5014,Wang Yaping first Chinese woman spacewalk; 183-day record,,,ENRICHED
Wentian Lab Module,7/24/2022,2022,2020s,China,China,CNSA,Long March 5B,Long,Wenchang,,Other,Other,23000,Success,Active,950,Liquid,7,Second CSS module; life science lab; 4 airlocks,,,ENRICHED
Mengtian Lab Module,10/31/2022,2022,2020s,China,China,CNSA,Long March 5B,Long,Wenchang,,Other,Other,23000,Success,Active,950,Liquid,7,Third CSS module; completed T-shape Tiangong station,,,ENRICHED
Shenzhou 15,11/29/2022,2022,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130,Success,Active,950,Liquid,0.5,First CSS crew handover; historic meeting of two crews,,,ENRICHED
Shenzhou 16,5/30/2023,2023,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130,Success,Active,950,Liquid,0.5,First payload specialist (civilian scientist Gui Haichao) in CSS,,,ENRICHED
Guowang constellation (GW),2023-2025,2023,2020s,China,China,CNSA,Long March 5B/6A,Long,Wenchang/Taiyuan,,Other,LEO,,Success,Active,17.5,Liquid,7,State LEO broadband; 1000+ satellites planned; competes with Starlink,,,ENRICHED
Shenzhou 18,4/25/2024,2024,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130,Success,Active,950,Liquid,0.5,3 EVAs; advanced space science; 6-month mission,,,ENRICHED
Chang'e 6,5/3/2024,2024,2020s,China,China,CNSA,Long March 5,Long,Wenchang,,Lunar Exploration,Lunar,8200,Success,Decommissioned,3500,Liquid,0.1452,First sample return from Moon's far side; 1.9 kg; international payloads,,,ENRICHED
Shenzhou 19,10/29/2024,2024,2020s,China,China,CNSA,Long March 2F,Long,Jiuquan,,Human Spaceflight,Other,8130,Success,Active,900,Liquid,,Wang Hao first female engineer taikonaut; ongoing 6-month mission,,,ENRICHED
Qianfan/SpaceSail,2024-2025,2024,2020s,China,China,CNSA,Long March 6A,Long,Taiyuan,,Other,LEO,,Success,Active,17.5,Liquid,7,"Commercial LEO broadband; 14,000 satellites planned",,,ENRICHED
Tianwen-2,5/29/2025,2025,2020s,China,China,CNSA,Long March 3B,Long,Wenchang,,Planetary Science,Heliocentric,,Success,Active,17.5,Liquid,7,Will visit asteroid Kamoʻoalewa and comet 311P/PanSTARRS,,,ENRICHED
Scout X-3 | Ariel 2,3/27/1964,1964,1960s,Europe_ESA,GBR,SERC (UK),Scout X-3,Scout,"Wallops Flight Facility, Virginia, USA",Launch Area 3,Science/Astrophysics,LEO,,Success,,,,,Ariel is a series of British research satellites. Ariel 2 was designed to carry out radio astronomy experiments and was used to measure galactic radio noise.,7380febd-426d-47bc-b0ba-dfd03e188345,Launch Library 2,CLEANED_COMPLETE
Scout X-4 | San Marco 1,12/15/1964,1964,1960s,Europe_ESA,ITA,NRC (Italy),Scout X-4,Scout,"Wallops Flight Facility, Virginia, USA",Launch Area 3A,Technology/Test,LEO,,Success,,,,,San Marco 1 was an Italian flight test of the satellite to furnish data on air density and ionosphere characteristics. The Scout-X4 launch vehicle was provided by NASA and was launched with an Italian launch crew from Wallops Island.,3c4f8b1a-e747-4a26-9fd2-77c4bbb7034e,Launch Library 2,CLEANED_COMPLETE
Diamant A | Asterix,11/26/1965,1965,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Technology/Test,LEO,,Success,,,,,First french satellite,e7434c5e-3660-4135-9f91-46b1bfbd01fc,Launch Library 2,CLEANED_COMPLETE
Scout X-4 | FR-1,12/6/1965,1965,1960s,Europe_ESA,FRA,CNES (France),Scout X-4,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Earth Observation,LEO,,Success,,,,,"The FR 1 (France 1) spacecraft was a small spacecraft carrying two experiments. One was designed to observe VLF signals from earth-based transmitters, and the other was an electron density probe measuring electron concentration at the satellite.",c4d9b6ee-d2ad-43d6-8312-70d2c663dae8,Launch Library 2,CLEANED_COMPLETE
Diamant A | Diapason D-1A,2/17/1966,1966,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Earth Observation,LEO,,Success,,,,,"Diapason was a small cylindrical satellite, 20 cm long and 50 cm in diameter which was used for making geodetic measurements.",3795303e-8662-4def-aaec-05144cee34af,Launch Library 2,CLEANED_COMPLETE
Diamant A | Diademe D-1C,2/8/1967,1967,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Earth Observation,LEO,,Success,,,,,French geodetic study satellite.,c29dfe71-9741-4902-9fcd-4ccbf3741408,Launch Library 2,CLEANED_COMPLETE
Diamant A | Diademe D-1D,2/15/1967,1967,1960s,Europe_ESA,FRA,CNES (France),Diamant A,Diamant,"Interarmy Special Vehicles Test Centre, French Algeria",Brigitte,Earth Observation,LEO,,Success,,,,,French geodetic study satellite.,c5cd3db6-4b32-4cd9-a178-f3e04a9ed47f,Launch Library 2,CLEANED_COMPLETE
Scout B | San Marco 2,4/26/1967,1967,1960s,Europe_ESA,ITA,NRC (Italy),Scout B,Scout,"Broglio Space Center, Kenya",San Marco platform,Earth Observation,LEO,,Success,,,,,"San Marco 2 was a 66-cm-diameter spherical satellite with two experiments, one designed to make direct measurements of air density below 350 km, and the other an ionospheric beacon experiment developed to observe electron content between the earth and the satellite.",0b896593-2d29-4229-a381-568790d9cfce,Launch Library 2,CLEANED_COMPLETE
Scout A | Ariel 3,5/5/1967,1967,1960s,Europe_ESA,GBR,SERC (UK),Scout A,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Earth Observation,LEO,,Success,,,,,"Ariel is a series of British research satellites. Ariel 3 was used to study atmospheric phenomena, and it also continued the previous satellite's experiments in gathering data on galactic radio noise.",31996ab9-94f3-4a6c-a04f-4227d90768e0,Launch Library 2,CLEANED_COMPLETE
Scout B | ESRO 2A,5/30/1967,1967,1960s,Europe_ESA,"FRA,ITA,DEU,ESP,CHE,GBR,DNK,SWE,BEL,NLD",ESRO,Scout B,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Science/Astrophysics,Polar,,Failure,,,,,"ESRO 2 (European Space Research Organisation), Iris (International Radiation Investigation Satellite) was a 75 kg spin-stabilized spacecraft. On the launch of ESRO 2A, the third stage vehicle failed and the spacecraft did not achieve orbit.",643d52ab-9daf-48f5-bd26-67baf406eae3,Launch Library 2,CLEANED_COMPLETE
ESRO 2B,5/17/1968,1968,1960s,Europe_ESA,Europe (10 nations),ESRO,Scout B,Scout,Vandenberg AFB,,Other,LEO,76,Success,Decommissioned,17.5,,7,First successful European satellite; measured cosmic rays and solar particle events,,,ENRICHED
Scout B | ESRO 2B,5/17/1968,1968,1960s,Europe_ESA,"FRA,ITA,DEU,ESP,CHE,GBR,DNK,SWE,BEL,NLD",ESRO,Scout B,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Science/Astrophysics,Polar,,Success,,,,,"ESRO 2 (European Space Research Organisation), Iris (International Radiation Investigation Satellite) was a 75 kg spin-stabilized spacecraft.",79809b7b-558a-47d3-bca1-5c0445278876,Launch Library 2,CLEANED_COMPLETE
Scout B | ESRO 1A (Aurorae),10/3/1968,1968,1960s,Europe_ESA,"FRA,ITA,DEU,ESP,CHE,GBR,DNK,SWE,BEL,NLD",ESRO,Scout B,Scout,"Vandenberg SFB, CA, USA",Space Launch Complex 5,Earth Observation,HEO/Elliptical,,Success,,,,,"ESRO-1A / Aurorae (European Space Research Organisation) was a 80 kg, cylindrically shaped, solar-cell-powered spacecraft instrumented with seven scientific experiments chosen to measure a comprehensive range of auroral effects.",018e6ff3-3edb-4851-a785-88bd478599d4,Launch Library 2,CLEANED_COMPLETE
Europa I | STV 1,11/29/1968,1968,1960s,Europe_ESA,"FRA,AUS,ITA,DEU,GBR,BEL,NLD",ELDO,Europa I,Europa,RAAF Woomera Range Complex,Launch Area 6A,Technology/Test,LEO,,Failure,,,,,STV (Satellite Test Vehicle) was a series of vehicle evaluation payloads built for the test flights of the Europa-1 rocket.,92a2c8e9-8b56-4abd-8fe9-e67bef355a64,Launch Library 2,CLEANED_COMPLETE
ESRO 4,11/22/1972,1972,1970s,Europe_ESA,Europe (10 nations),ESRO,Scout D-1,Scout,Vandenberg AFB,,Other,LEO,114,Success,Decommissioned,60,,7,Studied polar ionosphere; auroral phenomena,,,ENRICHED
