Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Alouette 1,1962-09-29,1962.0,1960s,Other_Countries,Canada,CSA,Thor-Agena B,Thor-Agena,Vandenberg AFB,,Science/Astrophysics,LEO,145.0,Success,Decommissioned,3.0,Liquid,10.0,First Canadian satellite; 3rd nation to build own satellite (launched by US); ionosphere study,,,ENRICHED
Alouette 2,1965-11-29,1965.0,1960s,Other_Countries,Canada,CSA,Thor-Agena D,Thor-Agena,Vandenberg AFB,,Science/Astrophysics,HEO/Elliptical,145.0,Success,Decommissioned,60.0,Liquid,7.0,Second ionospheric research satellite; detected electron density profiles,,,ENRICHED
SPARTA | WRESAT,1967-11-29,1967.0,1960s,Other_Countries,AUS,WRE (Australia),SPARTA,SPARTA,RAAF Woomera Range Complex,Launch Area 8,Science/Astrophysics,LEO,,Success,,,,,Australian satellite carrying four astrophysics experiments.,5b40e5a7-bb9a-475d-a6a6-f80df686e746,Launch Library 2,CLEANED_COMPLETE
ISIS-1,1969-01-30,1969.0,1960s,Other_Countries,Canada,CSA,Delta E,Delta,Vandenberg AFB,,Science/Astrophysics,HEO/Elliptical,241.0,Success,Decommissioned,60.0,Solid,7.0,International Satellites for Ionospheric Studies; joint Canada-US collaboration,,,ENRICHED
Anik A1,1972-11-09,1972.0,1970s,Other_Countries,Canada,CSA,Delta 1914,Delta,Cape Canaveral,,Communication,GEO,270.0,Success,Decommissioned,40.0,Solid,9.0,World's first domestic geostationary communications satellite in national service,,,ENRICHED
AusSat 1,1985-08-27,1985.0,1980s,Other_Countries,Australia,DFAT,Space Shuttle,Space,Kennedy Space Center,,Communication,GEO,1273.0,Success,Decommissioned,175.0,Solid,15.0,Australia's first domestic communications satellite; provided national coverage,,,ENRICHED
Ofek 1,1988-09-19,1988.0,1980s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Technology/Test,LEO,155.0,Success,Decommissioned,100.0,Solid,0.0521,Israel's first satellite; unusual retrograde orbit over Mediterranean; tested Shavit rocket,,,ENRICHED
Ofek 2,1990-04-03,1990.0,1990s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Technology/Test,LEO,160.0,Success,Decommissioned,60.0,Solid,3.0,Second Israeli satellite test; longer orbital life than Ofek-1,,,ENRICHED
Badr-1,1990-07-16,1990.0,1990s,Other_Countries,Pakistan,SUPARCO,Long March 2E,Long,Xichang,,Technology/Test,LEO,52.0,Success,Other,17.5,Liquid,3.0,Pakistan's first satellite; decayed after 7 months; technology validation,,,ENRICHED
Uribyol 1 (Kitsat-1),1992-08-10,1992.0,1990s,Other_Countries,South Korea,KARI,Ariane 4,Ariane,Kourou,,Technology/Test,LEO,50.0,Success,Decommissioned,17.5,Liquid,3.0,South Korea's first satellite; small student satellite; technology experiment,,,ENRICHED
SCD-1,1993-02-09,1993.0,1990s,Other_Countries,Brazil,AEB,Pegasus,Pegasus,Cape Canaveral,,Earth Observation,Other,115.0,Success,Decommissioned,60.0,Solid,8.0,Brazil's first domestically designed satellite; collects environmental data,,,ENRICHED
Ofek 3,1995-04-05,1995.0,1990s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Military/Reconnaissance,LEO,225.0,Success,Decommissioned,60.0,Solid,7.0,First operational Israeli reconnaissance satellite; electro-optical imaging,,,ENRICHED
RADARSAT-1,1995-11-04,1995.0,1990s,Other_Countries,Canada,CSA,Delta II,Delta,Vandenberg AFB,,Earth Observation,SSO,2713.0,Success,Decommissioned,615.0,Solid,17.0,SAR Earth observation satellite; used in sea ice mapping and disaster monitoring,,,ENRICHED
MEASAT-1,1996-01-12,1996.0,1990s,Other_Countries,Malaysia,ANGKASA,Ariane 4,Ariane,Kourou,,Communication,GEO,2617.0,Success,Decommissioned,325.0,Liquid,15.0,Malaysia's first satellite; geostationary communications for Southeast Asia,,,ENRICHED
SAC-B,1996-11-04,1996.0,1990s,Other_Countries,Argentina,CONAE,Pegasus XL,Pegasus,Wallops Island,,Other,LEO,191.0,Success,Other,60.0,Solid,7.0,Argentina's first satellite for high energy astrophysics; NASA collaboration; power issue,,,ENRICHED
SCD-2,1998-10-22,1998.0,1990s,Other_Countries,Brazil,AEB,Pegasus XL,Pegasus,Cape Canaveral,,Earth Observation,Other,115.0,Success,Decommissioned,60.0,Solid,8.0,Second Brazilian environmental data collection satellite; still operational,,,ENRICHED
SUNSAT,1999-02-23,1999.0,1990s,Other_Countries,South Africa,SANSA,Taurus,Taurus,Vandenberg AFB,,Technology/Test,SSO,64.0,Success,Decommissioned,17.5,,3.0,South Africa's first satellite; built by Stellenbosch University students,,,ENRICHED
CBERS-1 (China-Brazil),1999-10-14,1999.0,1990s,Other_Countries,Brazil,AEB,Long March 4B,Long,Taiyuan,,Earth Observation,SSO,1450.0,Success,Decommissioned,,Liquid,4.0,Joint China-Brazil mission; first major Brazil space cooperation,,,ENRICHED
Ariang-1 (KOMPSAT-1),1999-12-21,1999.0,1990s,Other_Countries,South Korea,KARI,Taurus,Taurus,Vandenberg AFB,,Earth Observation,SSO,470.0,Success,Decommissioned,60.0,,8.0,First Korean operational Earth observation satellite; 6.6m panchromatic resolution,,,ENRICHED
SaudiSat-1A/1B,2000-09-26,2000.0,2000s,Other_Countries,Saudi Arabia,KACST,Dnepr,Dnepr,Baikonur,,Technology/Test,SSO,12.0,Success,Decommissioned,17.5,Liquid,3.0,Saudi Arabia's first satellites; university technology experiments,,,ENRICHED
SAC-C,2000-11-21,2000.0,2000s,Other_Countries,Argentina,CONAE,Delta II,Delta,Vandenberg AFB,,Earth Observation,SSO,485.0,Success,Decommissioned,60.0,Solid,8.0,Argentina's operational Earth obs satellite; magnetic field sensing and imaging,,,ENRICHED
FedSat,2002-12-14,2002.0,2000s,Other_Countries,Australia,GA/CSIRO,H-IIA,H-IIA,Tanegashima,,Other,LEO,58.0,Success,Decommissioned,17.5,Solid,7.0,Australia's first satellite in 30 years; tested GPS augmentation and magnetometer,,,ENRICHED
MOST,2003-06-30,2003.0,2000s,Other_Countries,Canada,CSA,Rokot,Rokot,Plesetsk,,Other,SSO,54.0,Success,Decommissioned,17.5,Liquid,7.0,"First Canadian astronomy satellite; measured stellar oscillations; Canada's ""humble telescope""",,,ENRICHED
Scisat (ACE),2003-08-12,2003.0,2000s,Other_Countries,Canada,CSA,Pegasus XL,Pegasus,Cape Canaveral,,Science/Astrophysics,Other,150.0,Success,Decommissioned,60.0,Solid,7.0,Measures 60+ trace gases in upper atmosphere; ozone layer monitoring,,,ENRICHED
Bilsat-1,2003-09-27,2003.0,2000s,Other_Countries,Turkey,TÜBİTAK,Rokot,Rokot,Plesetsk,,Earth Observation,SSO,130.0,Success,Decommissioned,60.0,Liquid,8.0,Turkey's first satellite; remote sensing; joint SSTL (UK) and Turkey development,,,ENRICHED
NigeriaSat-1,2003-09-27,2003.0,2000s,Other_Countries,Nigeria,NASRDA,Rokot,Rokot,Plesetsk,,Earth Observation,SSO,93.0,Success,Decommissioned,,Liquid,9.0,Nigeria's first satellite; 32m resolution; part of Disaster Monitoring Constellation,,,ENRICHED
Sina-1,2005-10-28,2005.0,2000s,Other_Countries,Iran,ISA,Cosmos-3M,Cosmos-3M,Plesetsk,,Earth Observation,LEO,160.0,Success,Other,60.0,,7.0,Iran's first satellite; remote sensing experiments; launched by Russia,,,ENRICHED
KazSat-1,2006-06-18,2006.0,2000s,Other_Countries,Kazakhstan,KazCosmos,Proton-K,Proton-K,Baikonur,,Communication,GEO,2130.0,Failure,Lost/Failed,325.0,Liquid,15.0,Kazakhstan's first satellite; propulsion failure led to decommissioning 2008,,,ENRICHED
BelKA,2006-06-26,2006.0,2000s,Other_Countries,Belarus,BKFC,Dnepr,Dnepr,Baikonur,,Earth Observation,SSO,720.0,Failure,Lost/Failed,175.0,Liquid,8.0,Belarusian Earth observation satellite; lost in launch vehicle explosion,,,ENRICHED
SaudiComsat 3-6,2006-07-26,2006.0,2000s,Other_Countries,Saudi Arabia,KACST,Dnepr,Dnepr,Baikonur,,Communication,LEO,4.0,Success,Decommissioned,17.5,Liquid,15.0,Four small Saudi communication technology satellites,,,ENRICHED
KOMPSAT-2,2006-07-28,2006.0,2000s,Other_Countries,South Korea,KARI,Rokot,Rokot,Plesetsk,,Earth Observation,SSO,800.0,Success,Decommissioned,175.0,Liquid,8.0,1m resolution panchromatic imagery; detailed mapping capability,,,ENRICHED
Optus-D1,2006-10-11,2006.0,2000s,Other_Countries,Australia,Optus,Ariane 5,Ariane,Kourou,,Communication,GEO,2083.0,Success,Decommissioned,325.0,Solid,15.0,Replacement Australian domestic comms satellite,,,ENRICHED
EgyptSat-1,2007-04-28,2007.0,2000s,Other_Countries,Egypt,NARSS,Dnepr,Dnepr,Baikonur,,Earth Observation,SSO,160.0,Success,Other,60.0,Liquid,8.0,Egypt's first satellite; remote sensing; joint Egypt-Russia development,,,ENRICHED
NigComSat-1,2007-05-13,2007.0,2000s,Other_Countries,Nigeria,NASRDA,Long March 3B,Long,Xichang,,Communication,GEO,5150.0,Failure,Lost/Failed,950.0,Liquid,15.0,Nigeria's first comms satellite; anomaly in orbit; decommissioned 2008,,,ENRICHED
RADARSAT-2,2007-12-14,2007.0,2000s,Other_Countries,Canada,CSA,Soyuz-FG,Soyuz-FG,Baikonur,,Earth Observation,SSO,2200.0,Success,Active,603.0,Liquid,17.0,Ultra-fine 3m SAR imaging; military and commercial applications,,,ENRICHED
TechSAR (Ofek-8),2008-01-21,2008.0,2000s,Other_Countries,Israel,ISA,PSLV-C10 (India),PSLV-C10,Satish Dhawan,,Earth Observation,LEO,300.0,Success,Decommissioned,60.0,Solid,8.0,First Israeli SAR satellite; all-weather reconnaissance capability; launched by India,,,ENRICHED
THEOS-1,2008-10-01,2008.0,2000s,Other_Countries,Thailand,GISTDA,Dnepr,Dnepr,Dombarovsky,,Earth Observation,SSO,750.0,Success,Active,,Liquid,15.0,Thailand's first Earth observation satellite; 2m resolution imagery; agriculture monitoring,,,ENRICHED
Venesat-1 (Simon Bolivar),2008-10-29,2008.0,2000s,Other_Countries,Venezuela,ABV,Long March 3B,Long,Xichang,,Communication,GEO,5100.0,Success,Decommissioned,950.0,Liquid,15.0,Venezuela's first satellite; named after liberator; communications for Latin America,,,ENRICHED
Omid,2009-02-02,2009.0,2000s,Other_Countries,Iran,ISA,Safir-1B,Safir-1B,Semnan,,Technology/Test,LEO,27.0,Success,Decommissioned,15.0,Liquid,0.1233,First Iranian domestic satellite; first successful Iranian orbit; 45-day life,,,ENRICHED
