Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Sputnik 1,1957-10-04,1957.0,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),R-7,R-7,Baikonur Cosmodrome,,Technology/Test,LEO,83.6,Success,Decommissioned,10.0,Liquid,0.08,World's first artificial satellite; ushered in the Space Age,,,ENRICHED
Sputnik 8K74PS | Sputnik 1,1957-10-04,1957.0,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8K74PS,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Technology/Test,LEO,,Success,,,,,First artificial satellite consisting of a 58 cm pressurized aluminium shell containing two 1 W transmitters for a total mass of 83.6 kg.,e3df2ecd-c239-472f-95e4-2b89b4f75800,Launch Library 2,CLEANED_COMPLETE
Sputnik 2,1957-11-03,1957.0,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),R-7,R-7,Baikonur Cosmodrome,,Other,LEO,508.3,Success,Decommissioned,10.0,Liquid,0.17,Carried Laika the dog; first animal in orbit,,,ENRICHED
Sputnik 8K74PS | Sputnik 2,1957-11-03,1957.0,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8K74PS,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Technology/Test,LEO,,Success,,,,,Second artificial satellite and first to carry an animal into orbit.,f8c9f344-a6df-4f30-873a-90fe3a7840b3,Launch Library 2,CLEANED_COMPLETE
Sputnik 8A91 | D-1 1,1958-04-27,1958.0,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8A91,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Earth Observation,LEO,,Failure,,,,,First complex scientific satellite with 12 experiments and a total mass of1327 kg. It failed to reach orbit due to a launch vehicle failure.,59d2de37-4c22-495f-8718-4b22f5f34ab7,Launch Library 2,CLEANED_COMPLETE
Sputnik 3,1958-05-15,1958.0,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),R-7,R-7,Baikonur Cosmodrome,,Other,LEO,1327.0,Success,Decommissioned,12.0,Liquid,0.5,Geophysics satellite; many scientific instruments,,,ENRICHED
Sputnik 8A91 | D1- 2,1958-05-15,1958.0,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8A91,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Earth Observation,LEO,,Success,,,,,First complex scientific satellite to reach orbit.,6a7f56f9-2565-4b6c-b0c5-23e9c74a2368,Launch Library 2,CLEANED_COMPLETE
Vostok-L 8K72 | Luna-1a,1958-09-23,1958.0,1950s,Russia_USSR,RUS,Soviet Space Program,Vostok-L 8K72,Vostok,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Lunar Exploration,Lunar,,Failure,,,,,"Luna E-1 number 1 was a Soviet spacecraft intended to impact the moon, however, was lost in a launch failure.",b6141255-54e9-4edc-839d-1dc81b61f19f,Launch Library 2,CLEANED_COMPLETE
Vostok-L 8K72 | Luna-1b,1958-10-11,1958.0,1950s,Russia_USSR,RUS,Soviet Space Program,Vostok-L 8K72,Vostok,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Lunar Exploration,Lunar,,Failure,,,,,"Luna E-1 number 2 was a Soviet spacecraft intended to impact the moon, however, was lost in a launch failure.",b9dfc9fc-7c79-4c85-833e-037b3ee311aa,Launch Library 2,CLEANED_COMPLETE
Vostok-L 8K72 | Luna-1c,1958-12-04,1958.0,1950s,Russia_USSR,RUS,Soviet Space Program,Vostok-L 8K72,Vostok,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Lunar Exploration,Lunar,,Failure,,,,,Luna E-1 number 3 was a Soviet spacecraft intended to impact the moon but was lost in a launch failure.,3fabc98a-84bf-4b91-bec8-31f30eee9dc3,Launch Library 2,CLEANED_COMPLETE
Luna 1,1959-01-02,1959.0,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),Luna 8K72,Luna,Baikonur Cosmodrome,,Lunar Exploration,Heliocentric,361.0,Success,Decommissioned,15.0,Liquid,0.1,First spacecraft to escape Earth's gravity; first lunar flyby,,,ENRICHED
