Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Explorer 1,1958-02-01,1958.0,1950s,USA,USA,NASA/JPL,Juno I,Juno,Cape Canaveral,,Other,LEO,14.0,Success,Decommissioned,0.1,Solid,0.25,First US satellite; discovered Van Allen radiation belts,,,ENRICHED
Juno-I | Explorer 1,1958-02-01,1958.0,1950s,USA,USA,ABMA (USA),Juno-I,Redstone,"Cape Canaveral SFS, FL, USA",Launch Complex 26A,Technology/Test,LEO,,Success,,,,,First successfully launched American satellite. It was the first spacecraft to detect the Van Allen Radiation Belt.,1b9e28d0-c531-44b0-9b37-244e62a6d3f4,Launch Library 2,CLEANED_COMPLETE
Juno-I | Explorer 2,1958-03-05,1958.0,1950s,USA,USA,ABMA (USA),Juno-I,Redstone,"Cape Canaveral SFS, FL, USA",Launch Complex 26A,Technology/Test,LEO,,Failure,,,,,Small satellite similar to Explorer 1. It failed to reach orbit due to a fourth stage failure.,896e8af6-d256-4a5b-ab15-2f25c84e90e3,Launch Library 2,CLEANED_COMPLETE
Vanguard 1,1958-03-17,1958.0,1950s,USA,USA,NRL,Vanguard,Vanguard,Cape Canaveral,,Other,LEO,1.5,Success,Other,0.15,Liquid,0.25,Oldest man-made satellite still in orbit,,,ENRICHED
Explorer 3,1958-03-26,1958.0,1950s,USA,USA,NASA,Juno I,Juno,Cape Canaveral,,Other,LEO,14.0,Success,Decommissioned,0.1,Solid,0.5,Confirmed radiation belt data from Explorer 1,,,ENRICHED
Juno-I | Explorer 3,1958-03-26,1958.0,1950s,USA,USA,ABMA (USA),Juno-I,Redstone,"Cape Canaveral SFS, FL, USA",Launch Complex 26A,Earth Observation,HEO/Elliptical,,Success,,,,,Small satellite launched into an eccentric orbit with a cosmic ray counter and a micrometeorite detector.,b4e501ff-083c-47d6-9ff0-63ec1bf035c3,Launch Library 2,CLEANED_COMPLETE
Project Pilot | NOTS 1,1958-07-25,1958.0,1950s,USA,USA,US Navy,Project Pilot,Project,Air launch to Suborbital flight,Naval Air Weapons Station China Lake,Military/Reconnaissance,LEO,,Failure,,,,,"The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.",64da1836-0c00-4074-ab0a-f9d0ee6b1221,Launch Library 2,CLEANED_COMPLETE
Juno-I | Explorer 4,1958-07-26,1958.0,1950s,USA,USA,ABMA (USA),Juno-I,Redstone,"Cape Canaveral SFS, FL, USA",Launch Complex 5,Earth Observation,MEO,,Success,,,,,An American satellite in order to study the Van Allen radiation belts and the effects of nuclear explosions upon these belts.,e0975cef-e8c6-4f35-bbf7-1b55963e06a5,Launch Library 2,CLEANED_COMPLETE
Project Pilot | NOTS 2,1958-08-12,1958.0,1950s,USA,USA,US Navy,Project Pilot,Project,Air launch to Suborbital flight,Naval Air Weapons Station China Lake,Military/Reconnaissance,LEO,,Failure,,,,,"The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.",ac4c0c44-1925-4636-99b5-8c3b33d6c62a,Launch Library 2,CLEANED_COMPLETE
Thor Able I | Able I (Pioneer),1958-08-17,1958.0,1950s,USA,USA,ABMA (USA),Thor Able I,Thor,"Cape Canaveral SFS, FL, USA",Space Launch Complex 17A,Lunar Exploration,Lunar,,Failure,,,,,"The first pioneer orbiter, pioneer 0 was a lunar orbiter intended to enter a lunar orbit for observation. However, the mission failed 77 seconds into launch.",5408eda7-a3cc-48d2-9a62-e77a3cf86bc1,Launch Library 2,CLEANED_COMPLETE
